PIR4A_repeat_chain	PIR4B_repeat_chain	PIR4C_repeat_chain	PIR4D_repeat_chain
L1M4b, (TTA)n, AluY, L1M4b, L1MB5, L1PREC2, L1MCc, MLT1A0, (CAAAA)n, L1MCc	LTR48, MSTB1, L1MEc	AluSc8, L1ME3A, L1M5, AT_rich, (T)n, AluJb, (TA)n	AT_rich, LTR16E1, L1MEg
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, MSTB1, L1MEc	AluSc5, L1ME3A, L1M5, AluJb	AT_rich, L1MEe, AT_rich
AluY, L1M4b, L1MB5, L1PREC2, L1M5, L1MEg, MLT1A0, L1MEg	MSTB1, L1MEb	AluYb8, L1ME3A, L1M5, AT_rich, AluJb	AT_rich, L1MEg
AluY, L1M4b, L1MB5, L1M5, L1MEg, MLT1A0, L1MEg	LTR48, MSTB1, L1MEc, AT_rich	AluYb8, L1ME3A, L1M5, AT_rich, AluJb	AT_rich, L1MEe
AluY, L1M4b, L1MB5, L1M5, L1MEg, MLT1A0, L1MEg	LTR48, MSTB1, L1MEc	AluYb8, L1MCa, (T)n, AluJb	LTR16C, L1MEg
AluY, L1M4b, L1MB5, L1PREC2, L1M5, L1MCa, MLT1A0, L1MCa	MSTB1, L1MEc	AluYb8, L1ME3A, L1M5, AT_rich, (TTTTA)n, AluJb	L1MEe, AT_rich
AluY, L1M4b, L1MB5, L1M5, L1MEg, MLT1A0, L1MEg	LTR48, MSTB1, L1MEc	AluYb8, L1ME3A, L1M5, AluJb	AT_rich, L1MEe
AluY, L1M4b, L1MB5, L1M5, MLT1A0, L1MCa	LTR48, AT_rich, MSTB1, L1MEb	AluSc5, L1ME3A, L1M5, AluJb	L1MEe
AluY, L1M4b, L1MB5, L1M5, MLT1A0, L1MCa	LTR48, AT_rich, MSTB1, L1MEc	AluYb8, L1ME3A, L1M5, AT_rich, AluJb	L1MEe
AluY, L1M4b, L1MB5, L1M5, MLT1A0, L1MCa	LTR48, AT_rich, MSTB1, L1MEb	AluYb8, L1ME3A, L1M5, (A)n, AluJb	L1MEd, AT_rich
AluY, L1M4b, L1MB5, L1M5, MLT1A0, L1MCa	LTR48, AT_rich, MSTB1, L1MEb	AluYb8, L1ME3A, L1M5, (A)n, AluJb	L1MEg
AluY, L1M4b, L1MB5, L1PREC2, L1M5, MLT1A0, L1MCa	LTR48, AT_rich, MSTB1, L1MEc, AT_rich	AluYh9, L1ME3A, L1M5, AluJb	LTR16C, AT_rich, L1MEe, AT_rich
AluY, L1M4b, L1MB5, L1M5, MLT1A0, L1MCa	LTR48, MSTB1, L1MEb	AluJb	L1MEe
AluY, L1M4b, L1MB5, L1MCa, MLT1A0, L1MCa	MSTB1, L1MEc	AluJb	L1MEe
AluY, L1M4b, L1MB5, L1MCa, MLT1A0, L1MCa	AT_rich, MSTB1, L1MEb	AluJb	L1MEe
AluY, L1M4b, L1MB5, L1PREC2, L1M5, L1MEg, MLT1A0, L1MEg	L1MEc, L1MEg, AT_rich, L1MEg	AluJb	L1MEg
AluY, L1M4b, L1MB5, L1M5, L1MCa, MLT1A0, L1MCa	AT_rich, MSTB1, L1MEc	AluJb	L1MEg
AluY, L1M4b, L1MB5, L1M5, L1MCc, MLT1A0, L1MCc	AT_rich, MSTB1, L1MEc	AluJb	L1MEd
AluY, L1M4b, L1MB8, L1M5, MLT1A0, L1MCa	AT_rich, MSTB1, L1MEc	AluJb	L1MEd
AluY, L1M4b, L1MB5, L1M5, L1MCa, MLT1A0, L1MCa	(TA)n, MSTB1, L1MEc	AluJb	L1MEg
AluY, L1M4b, L1MB5, L1M5, L1MCa, MLT1A0, L1MCa	(TA)n, MSTB1, L1MEc	AluJb	L1MB7, AT_rich
AluY, L1M4b, L1MB5, L1M5, L1MCc, MLT1A0, L1MCc	LTR48, MSTB1, L1MEc	AluJb	L1MEe
AluY, L1M4b, L1MB8, L1M5, L1MEf, MLT1A0, L1MEf	LTR48, MSTB1, L1MEc	AluJb	L1MB7
AluY, L1M4b, L1MB5, L1PREC2, L1M5, MLT1A0	LTR48, MSTB1, L1MEf	AluJr	AT_rich
L1MB4, MLT1C, L1M4b	LTR48, MSTB1, L1MEc	AluJb	L1M4
L1MB4, L1M4b, MLT1C, L1M4b	LTR48, MSTB1, L1MEf	AluJb	L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, MSTB1, L1MEc	AluJr	L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, MSTB1	AluSx	L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	MSTB1, L1MEc	AluJb	L1MB5
L1MB4, MLT1C, L1M4b	MSTB1, L1MEc	AluJb	AT_rich
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, L1MEc, AT_rich, L1MEg	AluJb	AT_rich
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, L1MEc, AT_rich, L1MEg		AT_rich
L1MB4, L1M4b, MLT1C, L1M4b	L1MEc, AT_rich, L1MEg		L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	L1MEc, AT_rich, L1MEg		L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	L1MEb, AT_rich, L1MEg		AT_rich
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, L1MEc, AT_rich, L1MEg		AT_rich
L1MB4, MLT1C, L1M4b	L1MEc, L1MEg		L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	L1MEc, L1MEg		L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	L1MEc, L1MEg		L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	AT_rich, L1MEc, L1MEg, (T)n, AT_rich, L1MEg		AT_rich
L1MB4, MLT1C, L1M4b	AT_rich, L1MEc, L1MEg, (T)n, AT_rich, L1MEg		L1MB7
L1MB4, L1M4b, MLT1C, L1M4b	(GAATG)n		L1MB7
L1MB4, MLT1C, L1M4b	L1MEc, L1MEg, AT_rich, L1MEg		L1M4
L1MB4, MLT1C, L1M4b	LTR48, AT_rich		L1MB7
L1MB4, MLT1C, L1M4b	L1MEc, L1MEg		AT_rich
L1MB4, MLT1C, L1M4b	L1MEc, AT_rich, L1MEg		L1MB7
L1MCc, MLT1A0, L1MCc	MSTB1, L1MEc		L1MB7
L1MCa, MLT1A0, L1MCa	AT_rich, L1MEg		L1MB7, (TA)n, L1MB7
MLT1A0, L1MCa	L1MEc		L1MB8
MLT1A0, L1MCa	L1MEb		L1MB8
L1MCa, MLT1A0, L1MCa	L1MEc		L1MB7
MLT1A0, L1MCa	L1MEb		L1MB7
L1MCa, MLT1A0, L1MCa	L1MEb		L1MB7
MLT1A0, L1MCa	L1MEb		L1MB7
MLT1A0, L1MCa	L1MEc		AT_rich
MLT1A0, L1MEf	L1MEc		AT_rich
MLT1A0, L1MCa	L1MEb		AT_rich
L1MB4	L1MEc		AT_rich
L1MCa, MLT1A0, L1MCa	L1MEc		AT_rich
L1MB4	L1MEc		AT_rich
L1MB4	L1MEf		L1MB5
L1MB4	L1MEb		L1MB7
L1M4b, AluY	L1MEc		L1MB7
L1M4b, AluY	L1MEc		L1M4
L1M4b, AluY	L1MEf		AT_rich
L1M4b, AluY	L1MEb		L1M4
L1M4b, AluY	LTR48		L1MB7
L1M4b, AluY	MSTB1		AT_rich
L1M4b, AluY	AluSz, MSTB		L1MB7
L1M4b, AluY	MSTB		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	MSTB		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	MSTB		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	L1MCa, MSTB1		L1MB7
AluY	MSTB1		L1MB8
L1M4b, AluY	LTR16E2, MSTB		L1MB8
L1M4b, (TTA)n, AluY			L1MB7
AluY, AluYk4, AluY			L1MB7
L1M4b, AluY			L1MB7
AluY			L1MB7
L1M4b, AluY			L1MB7
L1M4b, AluY			L1MB7
AluY			L1MA8, L1M4
AluY			AT_rich, ALR/Alpha
AluSx, AluY, AluSx, Charlie1b			L1M4
			L1MB8
			L1MB7
			L1M4
			L1MB7
			L1MB7
			L1MB5
			L1MB8
			L1MB8
			L1MB5
			L1MB7
			L1M4
			L1M4
			L1MB7
			L1MB8
			L1MB7
			L1M4
			L1MB7
			L1M4
			L1MB8
